text,taxonomy,keyword,knowledgegraph,concept,entity
departure,/travel/transports/air travel/airfare ,departure , , , 
diamond,/style and fashion/jewelry/rings ,diamond ,/resources/materials/gemstones/diamond , , 
dirt,/sports/motorcycling ,dirt ,/problems/defects/impurities/contaminants/dirt , , 
ear,/health and fitness/disease/deafness ,ear , , , 
fortune, ,fortune ,/people/media/publications/magazines/fortune , , 
friendship,/style and fashion/jewelry/bracelets ,friendship ,/issues/resources/themes/friendship , , 
funeral,/religion and spirituality/christianity/catholicism ,funeral ,/activities/events/funeral , , 
gene, ,gene , , , 
girlfriend, ,girlfriend ,/women/girlfriend , , 
hat, ,hat ,/accessories/hat , , 
indication, ,indication ,/drugs/medications/indication , , 
intention,"/law, govt and politics/legal issues/legislation ",intention , , , 
lady,/art and entertainment/music/recording industry/music awards ,lady ,/people/lady , , 
midnight, ,midnight ,/colors/midnight , , 
negotiation,/finance/personal finance/debt management ,negotiation ,/issues/skills/negotiation , , 
obligation, ,obligation ,/instruments/securities/obligation , , 
passenger,/automotive and vehicles/cars/sedan ,passenger ,/people/drivers/passenger , , 
pizza,/food and drink/cuisines/italian cuisine ,pizza ,/foods/pizza , , 
platform, ,platform ,/products/services/facilities/buildings/structures/platform , , 
poet,/art and entertainment/books and literature/poetry ,poet , , , 
pollution,/science/ecology/pollution ,pollution ,/problems/pollution , , 
recognition,/science/computer science/artificial intelligence ,recognition ,/activities/awards/recognition , , 
reputation,/business and industrial/advertising and marketing/brand management ,reputation ,/considerations/factors/characteristics/reputation , , 
shirt,/style and fashion/accessories/ties ,shirt ,/products/shirt , , 
sir, ,sir ,/titles/sir , , 
speaker,/technology and computing/consumer electronics/tv and video equipment/home theater systems ,speaker ,/activities/events/speaker , , 
stranger, ,stranger ,/animals/dogs/stranger , , 
surgery,/science/medicine/surgery ,surgery ,/products/services/treatments/surgery , , 
sympathy,/shopping/gifts/greeting cards ,sympathy ,/special events/events/occasions/sympathy , , 
tale, ,tale ,/stories/tale , , 
throat,/health and fitness/disease/gerd and acid reflux ,throat , , , 
trainer,/health and fitness ,trainer ,/people/professionals/trainer , , 
uncle, ,uncle ,/people/relatives/uncle , , 
youth, ,youth ,/people/youth , , 
time, ,time , , , 
work, ,work ,/activities/work , , 
film,/art and entertainment/movies/film festivals and awards ,film , , , 
water, ,water ,/products/services/resources/materials/liquids/water , , 
money,/finance/personal finance/saving ,money ,/products/materials/services/resources/money , , 
example, ,example , , , 
while, , , , , 
business,NA,NA,NA, , 
study,/education/homework and study tips ,study ,/activities/study , , 
game, ,game , , , 
life, ,life ,/people/life , , 
form,/business and industrial/company/annual report ,form , , , 
air,"/law, govt and politics/armed forces/air force ",air , , , 
day, , , , , 
place, ,place ,/places , , 
number, ,number ,/characters/symbols/number , , 
part, , , , , 
field,/sports/hockey/field hockey ,field ,/fields , , 
fish,/sports/fishing/freshwater fishing , , , , 
back, , , , , 
process, ,process , , , 
heat,/business and industrial/energy/renewable energy/geothermal energy ,heat , , , 
hand, ,hand ,/materials/services/parts/hand , , 
experience, ,experience , , , 
job,/careers/job search ,job ,/issues/benefits/opportunities/job , , 
book,/art and entertainment/comics and animation/comics ,book ,/products/services/resources/materials/book , , 
end, ,end , , , 
point, ,point , , , 
type,/health and fitness/disease/diabetes ,type ,/products/details/features/factors/type , , 
home, ,home , , , 
economy,/business and industrial/energy/oil/oil and gas prices ,economy ,/issues/economy , , 
value,/hobbies and interests/collecting/stamps and coins ,value ,/matters/value , , 
body, ,body ,/products/parts/body , , 
market, ,market ,/places/market , , 
guide,/travel/travel guides ,guide ,/products/materials/services/resources/guide , , 
interest,/society/crime/property crime/usury , , , , 
state, ,state ,/organizations/agencies/state , , 
radio,/art and entertainment/radio ,radio ,/industries/media/radio , , 
course, ,course , , , 
company,/business and industrial/record company ,company ,/organizations/company , , 
price, ,price ,/numbers/factors/features/details/price , , 
size,/technology and computing/software/shareware and freeware ,size ,/products/details/features/parameters/characteristics/size , , 
card,/finance/personal finance/lending/credit cards ,card ,/products/card , , 
list, ,list ,/products/materials/services/resources/list , , 
mind, , , , , 
trade, ,trade ,/issues/trade , , 
line,/technology and computing/networking/vpn and remote access ,line , , , 
care, ,care ,/activities/services/care , , 
group, ,group ,/organizations/group , , 
risk, ,risk ,/issues/risk , , 
word, ,word , , , 
fat,/health and fitness/disease/cholesterol , , , , 
force,"/law, govt and politics/armed forces/air force ",force , , , 
key, , , , , 
light,/home and garden/home furnishings/lamps and lighting ,light ,/accessories/light , , 
training, ,training ,/products/tools/resources/materials/services/training , , 
name, , , , , 
school,/education/school ,school ,/schools , , 
top, , , , , 
amount, , , , , 
level, ,level , , , 
order, , , , , 
practice,/technology and computing/computer certification ,practice ,/activities/events/practice , , 
research,/science/medicine/medical research ,research ,/activities/research , , 
sense,/art and entertainment/humor ,sense ,/lives/sense , , 
service, ,service , , , 
piece,/art and entertainment/visual art and design/performance art ,piece ,/accessories/piece , , 
web, ,web , , , 
boss, ,boss ,/brands/boss , , 
sport,/sports/fishing/sport fishing ,sport ,/activities/sport , , 
fun, ,fun ,/activities/fun , , 
house,/home and garden/home improvement and repair/house painting and finishing ,house , , , 
page, ,page , , , 
term,/finance/personal finance/insurance/life insurance ,term , , , 
test, ,test ,/products/tools/resources/materials/services/test , , 
answer, ,answer ,/services/resources/materials/comments/posts/answer , , 
sound,/technology and computing/hardware/computer components/sound cards , , , , 
focus, ,focus ,/contact lenses/focus , , 
matter, ,matter ,/books/matter , , 
kind, ,kind ,/mechanical seals/kind , , 
soil, ,soil , , , 
board,/hobbies and interests/games/board games and puzzles ,board , , , 
oil,/business and industrial/energy/oil ,oil ,/products/commodities/oil , , 
picture, ,picture ,/products/images/picture , , 
access,/technology and computing/networking/vpn and remote access ,access ,/issues/access , , 
garden,/home and garden ,garden ,/places/garden , , 
range, ,range ,/products/range , , 
rate, ,rate , , , 
reason,/religion and spirituality/atheism and agnosticism ,reason ,/matters/reason , , 
future, , , , , 
site, ,site ,/products/services/resources/materials/sites/site , , 
demand,/business and industrial/energy/oil/oil and gas prices ,demand ,/concepts/factors/demand , , 
exercise,/health and fitness/exercise ,exercise ,/activities/exercise , , 
image,/technology and computing/internet technology/web clip art ,image ,/products/image , , 
case, ,case ,/accessories/case , , 
cause, ,cause ,/issues/cause , , 
coast,"/law, govt and politics/law enforcement/coast guard ",coast ,/places/coast , , 
action,/shopping/toys/action figures ,action ,/activities/games/action , , 
age,/family and parenting/children/daycare and preschool ,age , , , 
bad, , , , , 
boat,/sports/boat racing ,boat ,/vehicles/boat , , 
record,/art and entertainment/music/recording industry/record labels ,record , , , 
result, ,result ,/factors/features/details/result , , 
section, ,section , , , 
building,"/law, govt and politics/legal issues/legislation/building laws ",building , , , 
mouse,/technology and computing/hardware/computer peripherals ,mouse ,/animals/mouse , , 
cash,/finance/bank/checks ,cash ,/products/materials/services/resources/assets/cash , , 
class,/education/alumni and reunions ,class , , , 
nothing, , , , , 
period,/science/social science/history/medieval history ,period ,/characters/punctuation marks/period , , 
plan,/business and industrial/business operations/business plans ,plan ,/statements/plan , , 
store,/food and drink/food and grocery retailers/grocery stores ,store ,/organizations/businesses/store , , 
tax,/finance/accounting and auditing/tax preparation and planning ,tax , , , 
side, , , , , 
subject, , , , , 
space,/business and industrial/aerospace and defense/space technology ,space ,/activities/services/resources/space , , 
rule,/business and industrial/advertising and marketing/telemarketing ,rule , , , 
stock,/finance/investing/options ,stock , , , 
weather,/science/weather ,weather ,/activities/events/details/features/factors/weather , , 
chance, ,chance ,/factors/chance , , 
figure,/sports/skating/figure skating ,figure ,/products/tools/resources/materials/illustrations/figure , , 
man, ,man ,/people/man , , 
model, ,model , , , 
source,/business and industrial/energy/renewable energy/geothermal energy ,source , , , 
beginning, , , , , 
earth, ,earth ,/celestial bodies/planets/earth , , 
program, ,program ,/products/tools/resources/materials/services/program , , 
chicken,/food and drink/food/salads ,chicken ,/foods/meats/chicken , , 
design,/art and entertainment/visual art and design/design ,design ,/products/tools/resources/materials/services/design , , 
feature, ,feature , , , 
head, ,head ,/factors/features/details/types/parts/head , , 
material, ,material ,/products/materials/services/resources/material , , 
purpose,/shopping/resources/warranties and service contracts ,purpose ,/details/features/factors/purpose , , 
question, ,question , , , 
rock,/sports/climbing/rock climbing ,rock ,/products/styles/rock , , 
salt,/food and drink/kosher food ,salt ,/products/goods/salt , , 
act, ,act ,/organizations/groups/subjects/standardized tests/act , , 
birth,/family and parenting/adoption ,birth , , , 
car, ,car ,/vehicles/car , , 
dog,/pets/dogs ,dog ,/animals/pets/dog , , 
object,/technology and computing/programming languages/c and c++ ,object , , , 
scale, ,scale ,/problems/pests/insects/scale , , 
sun, ,sun ,/products/elements/planets/stars/sun , , 
note, ,note , , , 
profit, ,profit , , , 
rent,/real estate/apartments ,rent ,/issues/types/rent , , 
speed, ,speed ,/features/factors/speed , , 
style,/style and fashion/men 's fashion ,style ,/products/details/features/factors/style , , 
war,/society/unrest and war ,war ,/issues/war , , 
bank,/finance/bank/bank account ,bank ,/organizations/businesses/financial institutions/bank , , 
craft,/art and entertainment/visual art and design/art and craft supplies ,craft ,/activities/craft , , 
half, ,half , , , 
inside, , , , , 
outside, , , , , 
standard,/business and industrial/energy/oil/oil company , , , , 
bus,/travel/transports/public transport ,bus ,/vehicles/motor vehicles/automobiles/bus , , 
exchange,/finance/investing/funds/exchange traded funds ,exchange , , , 
eye,/science/medicine/surgery ,eye ,/tissues/organs/eye , , 
fire,"/law, govt and politics/law enforcement/fire department ", , , , 
position, ,position ,/details/features/properties/position , , 
pressure,/health and fitness/disease/heart disease ,pressure ,/devices/components/elements/variables/pressure , , 
stress,/health and fitness/disorders/mental disorder/panic and anxiety ,stress ,/problems/stress , , 
advantage, ,advantage ,/factors/features/details/advantage , , 
benefit,/finance/personal finance/financial planning/retirement and pension ,benefit ,/issues/benefit , , 
box,/technology and computing/consumer electronics/tv and video equipment/dvrs and set-top boxes ,box ,/products/containers/box , , 
frame,/home and garden/bed and bath/bedroom/beds and headboards ,frame ,/products/parts/frame , , 
issue, ,issue ,/issues , , 
step, ,step ,/products/details/features/hazards/obstacles/step , , 
cycle, ,cycle ,/vehicles/cycle , , 
face, ,face ,/products/parts/face , , 
item, ,item , , , 
metal,/business and industrial/metals ,metal ,/products/materials/metal , , 
paint,/home and garden/home improvement and repair/house painting and finishing ,paint ,/products/materials/paint , , 
review,/art and entertainment/movies and tv/movies/reviews ,review , , , 
room,/technology and computing/internet technology/chat ,room , , , 
screen,/technology and computing/consumer electronics/tv and video equipment/projectors ,screen ,/products/screen , , 
structure, ,structure , , , 
view, ,view , , , 
account,/finance/bank/bank account ,account ,/issues/resources/materials/services/account , , 
ball, ,ball ,/products/toys/ball , , 
discipline, ,discipline ,/issues/discipline , , 
medium, ,medium ,/industries/medium , , 
share, ,share ,/products/services/resources/assets/securities/share , , 
balance,/finance/personal finance/lending/credit cards ,balance ,/techniques/concepts/factors/skills/balance , , 
bit,/technology and computing/hardware/computer networking/router ,bit ,/products/tools/bit , , 
black, , , , , 
bottom, , , , , 
choice, ,choice ,/considerations/factors/choice , , 
gift,/shopping/gifts ,gift ,/products/gift , , 
impact, ,impact ,/issues/impact , , 
machine, ,machine ,/products/machine , , 
shape, ,shape , , , 
tool, ,tool ,/products/tools/resources/tool , , 
wind,/business and industrial/energy/renewable energy/wind energy ,wind ,/products/elements/wind , , 
address,/technology and computing/programming languages/javascript ,address ,/products/materials/services/features/details/address , , 
average,/science/mathematics/statistics ,average , , , 
career,/careers/career planning ,career ,/people/women/career , , 
culture,/automotive and vehicles/cars/car culture ,culture ,/issues/culture , , 
morning, ,morning , , , 
pot, ,pot ,/products/containers/pot , , 
sign, ,sign , , , 
table,/sports/table tennis and ping-pong ,table ,/products/table , , 
task, ,task , , , 
condition,/health and fitness/disease/thyroid disease ,condition ,/matters/provisions/conditions/terms/condition , , 
contact, ,contact ,/products/components/contact , , 
credit,/finance/personal finance/lending/credit cards ,credit , , , 
egg, ,egg ,/foods/egg , , 
hope, ,hope ,/people/emotions/hope , , 
ice,/sports/skating/ice skating ,ice , , , 
network,/technology and computing/internet technology/social network ,network , , , 
north, ,north ,/places/north , , 
square, ,square ,/products/tools/shapes/square , , 
attempt,/technology and computing/computer certification ,attempt ,/acts/attempt , , 
date, ,date , , , 
effect, ,effect ,/issues/effect , , 
link, ,link ,/products/tools/resources/link , , 
post, ,post , , , 
star, ,star ,/tools/effects/shapes/star , , 
voice, ,voice , , , 
capital,/finance/investing/venture capital ,capital ,/services/resources/capital , , 
challenge, ,challenge ,/issues/challenge , , 
friend, ,friend ,/people/friend , , 
self, ,self ,/sources/publications/self , , 
shot,/health and fitness/disease/cold and flu ,shot ,/products/drinks/shot , , 
brush,/style and fashion/beauty/cosmetics/eyeshadow ,brush ,/products/tools/brush , , 
couple, ,couple ,/people/couple , , 
debate, ,debate , , , 
exit, ,exit , , , 
front,/home and garden/gardening and landscaping/yard and patio , , , , 
function, ,function ,/activities/events/function , , 
lack, ,lack ,/bands/lack , , 
living,/society/senior living , , , , 
plant,/business and industrial/energy/nuclear power ,plant ,/products/gifts/flowers/plant , , 
plastic,/science/medicine/surgery ,plastic ,/products/materials/plastic , , 
spot, ,spot ,/problems/irregularities/imperfections/marks/blemishes/spot , , 
summer, ,summer ,/people/summer , , 
taste,/food and drink/food/herbs and spices ,taste ,/details/features/factors/taste , , 
theme,/travel/tourist destinations/theme parks ,theme , , , 
track, ,track , , , 
wing,"/law, govt and politics/armed forces/air force ",wing ,/products/parts/wing , , 
brain,/health and fitness/disease/cancer/brain tumor ,brain ,/factors/types/parts/organs/brain , , 
button, ,button ,/products/button , , 
click, ,click , , , 
desire, ,desire ,/concepts/factors/emotions/desire , , 
foot, ,foot ,/parts/foot , , 
gas,/business and industrial/energy/natural gas ,gas , , , 
influence, ,influence ,/issues/influence , , 
notice,"/law, govt and politics ",notice , , , 
rain,/science/weather ,rain ,/components/elements/rain , , 
wall, ,wall ,/products/elements/surfaces/wall , , 
base, ,base ,/products/chemicals/base , , 
damage,/science/weather/meteorological disaster/flood ,damage ,/problems/damage , , 
distance,/education/distance learning ,distance ,/events/details/features/factors/distance , , 
feeling,/health and fitness/disorders/mental disorder/panic and anxiety ,feeling ,/issues/feeling , , 
pair, ,pair , , , 
savings, ,savings ,/products/services/financial services/savings , , 
staff, ,staff ,/people/students/staff , , 
sugar,/food and drink/food/candy and sweets ,sugar ,/products/ingredients/sugar , , 
target,/sports/hunting and shooting/target shooting ,target ,/organizations/businesses/stores/target , , 
text,/technology and computing/software/graphics software ,text ,/products/services/resources/materials/text , , 
animal,/pets/animal welfare ,animal ,/animals , , 
author, ,author , , , 
budget, ,budget , , , 
discount,/shopping/resources/coupons ,discount , , , 
file, ,file , , , 
ground, ,ground , , , 
lesson,/education/teaching and classroom resources/lesson plans ,lesson , , , 
minute, , , , , 
officer,"/law, govt and politics/law enforcement/highway patrol ",officer ,/organizations/service providers/partners/officer , ,officer 
phase, ,phase ,/factors/variables/parameters/characteristics/phase , , 
reference,/art and entertainment/books and literature/reference books ,reference , , , 
register,/education/alumni and reunions ,register ,/devices/components/register , , 
sky, ,sky ,/companies/sky , , 
stage,/art and entertainment/theatre/theatre companies ,stage , , , 
stick, ,stick ,/weapons/stick , , 
title, ,title , , , 
trouble, ,trouble , , , 
bowl,/home and garden/appliances/small appliances/food processors ,bowl ,/products/containers/bowl , , 
bridge, ,bridge ,/products/services/facilities/buildings/structures/bridge , , 
campaign, ,campaign ,/activities/campaign , , 
character, ,character ,/characters , , 
club, ,club ,/organizations/club , , 
edge,/technology and computing ,edge , , , 
evidence, ,evidence ,/tools/resources/materials/evidence , , 
fan,/art and entertainment/books and literature/fan fiction ,fan ,/people/fan , , 
letter,/careers/resume writing and advice ,letter ,/activities/services/resources/materials/papers/letter , , 
lock,/home and garden/home improvement and repair/locks and locksmiths ,lock ,/accessories/lock , , 
maximum, ,maximum , , , 
novel,/art and entertainment/books and literature/science fiction ,novel , , , 
option,/finance/investing/options ,option , , , 
pack,/technology and computing/operating systems/windows ,pack ,/products/pack , , 
park,/travel/tourist destinations/national parks ,park ,/places/park , , 
plenty, ,plenty ,/guys/plenty , , 
quarter, ,quarter , , , 
skin, ,skin ,/tissues/organs/skin , , 
sort, ,sort , , , 
weight,/health and fitness/weight loss ,weight ,/features/factors/weight , , 
baby,/family and parenting/babies and toddlers/baby clothes ,baby ,/people/children/baby , , 
background,/technology and computing/internet technology/web search/people search ,background ,/considerations/factors/features/details/background , , 
carry, ,carry ,/flags/carry , , 
dish,/food and drink/desserts and baking ,dish ,/accessories/utensils/dish , , 
factor,/business and industrial/biomedical ,factor ,/lenders/financial institutions/factor , , 
fruit,/food and drink/food/salads ,fruit ,/foods/fruit , , 
glass,/business and industrial/metals ,glass ,/products/materials/glass , , 
joint,/business and industrial/company/joint venture , , , , 
master, ,master , , , 
muscle, ,muscle ,/tissues/muscle , , 
red, , , , , 
strength, ,strength ,/techniques/concepts/factors/features/properties/strength , , 
traffic, ,traffic ,/issues/traffic , , 
trip, ,trip ,/activities/trip , , 
vegetable,/home and garden/gardening and landscaping/gardening ,vegetable ,/foods/vegetable , , 
appeal, ,appeal , , , 
chart,/hobbies and interests/astrology ,chart ,/products/services/resources/materials/graphics/chart , , 
gear, ,gear , , , 
ideal, ,ideal ,/companies/ideal , , 
kitchen, ,kitchen ,/products/services/facilities/rooms/kitchen , , 
land,/automotive and vehicles/vehicle brands/land rover ,land , , , 
log,/technology and computing/hardware/computer/servers ,log ,/products/log , , 
mother, ,mother ,/dogs/persons/family members/parents/mother , , 
net, ,net ,/accessories/net , , 
party,/shopping/gifts/party supplies ,party ,/activities/events/party , , 
principle, ,principle ,/issues/resources/courses/principle , , 
relative, , , , , 
sale,/automotive and vehicles/campers and rvs ,sale , , , 
season, ,season , , , 
signal, ,signal ,/devices/signal , , 
spirit,/health and fitness/alternative medicine/holistic healing ,spirit ,/products/beverages/spirit , , 
street, ,street ,/places/street , , 
tree, ,tree ,/products/gifts/flowers/plants/tree , , 
wave,/sports/surfing and bodyboarding ,wave , , , 
belt, ,belt ,/accessories/belt , , 
bench, ,bench ,/products/bench , , 
commission, ,commission , , , 
copy,"/technology and computing/hardware/computer peripherals/printers, copiers and fax/copiers ",copy , , , 
drop, ,drop ,/mishaps/accidents/drop , , 
minimum,"/law, govt and politics/legal issues/legislation/building laws ",minimum , , , 
path, ,path , , , 
progress,/technology and computing/technological innovation ,progress ,/issues/progress , , 
project,/business and industrial/business operations/management/project management ,project ,/activities/project , , 
sea, ,sea ,/activities/services/sea , , 
south, ,south ,/locations/countries/united states/south , , 
status, ,status ,/details/features/factors/status , , 
stuff, ,stuff ,/people/stuff , , 
ticket,/hobbies and interests/games/lottery ,ticket ,/activities/awards/prizes/ticket , , 
tour,/travel/specialty travel/sightseeing tours ,tour , , , 
angle, ,angle ,/products/angle , , 
blue, , , , , 
breakfast,/travel/tourist facilities/bed and breakfast ,breakfast ,/activities/services/meals/breakfast , , 
confidence, ,confidence , , , 
daughter, ,daughter ,/individuals/family members/children/daughter , , 
degree, ,degree ,/factors/qualifications/degree , , 
doctor, ,doctor ,/people/professionals/doctor , , 
dot,"/technology and computing/hardware/computer peripherals/printers, copiers and fax/printers ",dot ,/organizations/agencies/dot , ,dot 
dream, , , , , 
duty, ,duty , , , 
essay,/education/homework and study tips ,essay ,/products/services/resources/materials/writings/essay , , 
father, ,father , , , 
fee,/finance/bank/checks ,fee , , , 
finance,/finance ,finance ,/industries/finance , , 
hour, , , , , 
juice, ,juice ,/products/beverages/juice , , 
limit, ,limit ,/features/factors/terms/restrictions/limit , , 
luck, ,luck , , , 
milk,/food and drink/food allergies ,milk ,/foods/dairy products/milk , , 
mouth, ,mouth , , , 
peace, ,peace ,/issues/peace , , 
pipe,/home and garden/home improvement and repair/plumbing ,pipe ,/products/stainless steel products/pipe , , 
seat, ,seat ,/accessories/parts/seat , , 
stable, , , , , 
storm,/science/weather/meteorological disaster/hurricane ,storm ,/situations/emergencies/natural disasters/storm , , 
substance,/health and fitness/addiction/substance abuse ,substance , , , 
team, ,team ,/organizations/groups/teams/team , , 
trick, ,trick ,/comments/trick , , 
afternoon,/food and drink/beverages/non alcoholic beverages/coffee and tea ,afternoon ,/times/afternoon , , 
bat,/sports/baseball ,bat ,/animals/bat , , 
beach,/travel/tourist destinations/seaside resort ,beach ,/activities/attractions/beach , , 
blank, , , , , 
catch, ,catch ,/supplies and tools/catch , , 
chain,/business and industrial/business operations/management/supply chain management ,chain ,/accessories/chain , , 
consideration, ,consideration , , , 
cream,/food and drink/desserts and baking ,cream ,/products/cream , , 
crew,/business and industrial/aerospace and defense/space technology ,crew ,/people/passengers/crew , , 
detail, , , , , 
gold,/style and fashion/jewelry/earrings ,gold ,/products/commodities/precious metals/gold , , 
interview, ,interview , , , 
kid, ,kid ,/animals/dogs/kid , , 
mark, ,mark ,/people/mark , ,mark 
match, ,match ,/activities/events/match , , 
mission,/business and industrial/aerospace and defense/space technology ,mission ,/activities/mission , , 
pain,/health and fitness/disease/chronic pain ,pain ,/problems/pain , , 
pleasure,/automotive and vehicles/boats and watercraft ,pleasure ,/experiences/feelings/emotions/pleasure , , 
score, ,score ,/memorabilia/artifacts/tools/resources/materials/score , , 
screw,/business and industrial/metals ,screw ,/accessories/parts/components/small parts/fasteners/screw , , 
sex,/society/sex ,sex ,/issues/sex , , 
shop, ,shop ,/places/hotels/amenities/shop , , 
shower,/home and garden/bed and bath/bathroom ,shower ,/products/services/facilities/shower , , 
suit, ,suit ,/services/facilities/guest rooms/rooms/suit , , 
tone, ,tone , , , 
window, ,window , , , 
agent, ,agent ,/organizations/service providers/partners/agent , , 
band,/art and entertainment/music/music genres/ska ,band , , , 
block,/technology and computing/internet technology/isps ,block ,/accessories/props/block , , 
bone,/science/medicine/surgery/transplants ,bone ,/tissues/bone , , 
calendar,/art and entertainment/movies and tv/movies/reviews ,calendar ,/products/calendar , , 
cap,/sports/baseball ,cap ,/products/cap , , 
coat,/style and fashion/clothing/coats ,coat ,/accessories/clothes/coat , , 
contest,/shopping/resources/contests and freebies ,contest ,/activities/events/special offers/deals/promotions/contest , , 
corner, ,corner ,/places/corner , , 
court, ,court ,/organizations/agencies/court , , 
cup, ,cup ,/products/cup , , 
district,/education/special education ,district ,/organizations/district , , 
door,/home and garden/gardening and landscaping/yard and patio ,door ,/products/door , , 
east, ,east ,/places/east , , 
finger,/shopping/toys/puppets ,finger ,/elements/types/parts/body parts/finger , , 
garage,/home and garden/bed and bath/bedroom ,garage ,/products/services/facilities/structures/buildings/garage , , 
guarantee, ,guarantee , , , 
hole, ,hole ,/problems/defects/hole , , 
hook,/hobbies and interests/arts and crafts/crochet ,hook ,/accessories/hook , , 
implement, ,implement ,/products/tools/implement , , 
layer, ,layer ,/products/tools/layer , , 
lecture, ,lecture ,/activities/events/lecture , , 
lie, ,lie ,/books/lie , , 
manner, ,manner ,/subjects/manner , , 
meeting, ,meeting ,/activities/events/meeting , , 
nose,/science/medicine/surgery ,nose ,/accessories/parts/nose , , 
parking,/travel/transports/air travel/airports ,parking ,/activities/services/facilities/parking , , 
partner,/business and industrial/company/joint venture ,partner , , ,partner 
profile,/technology and computing/internet technology/social network ,profile , , , 
respect, ,respect ,/issues/values/respect , , 
rice,/food and drink/food/grains and pasta ,rice ,/foods/grains/rice , , 
routine, , , , , 
schedule, ,schedule , , , 
swimming,/sports/swimming ,swimming ,/activities/swimming , , 
telephone,/technology and computing/consumer electronics/telephones ,telephone ,/products/services/telephone , , 
tip, ,tip ,/products/tools/resources/tip , , 
winter, ,winter ,/themes/seasons/winter , , 
airline, ,airline , , , 
bag,/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders/camera bags ,bag ,/accessories/bag , , 
battle, ,battle , , , 
bed,/travel/tourist facilities/bed and breakfast ,bed ,/products/bed , , 
bill, , , , ,bill 
bother, , , , , 
cake,/food and drink/desserts and baking ,cake ,/foods/baked goods/cake , , 
code,/shopping/resources/coupons ,code ,/products/tools/resources/materials/code , , 
curve,/science/mathematics/geometry ,curve , , , 
designer,/style and fashion/fashion designers ,designer ,/people/professionals/designer , , 
dimension, ,dimension ,/concepts/factors/features/details/specifications/dimension , , 
dress,/style and fashion/clothing/wedding dresses ,dress ,/accessories/clothes/dress , , 
ease, ,ease ,/factors/characteristics/ease , , 
emergency, ,emergency ,/services/emergency , , 
evening,/style and fashion/clothing/wedding dresses ,evening ,/times/evening , , 
extension, ,extension , , , 
farm,/business and industrial/agriculture and forestry/farms and ranches ,farm ,/organizations/businesses/farm , , 
fight,/sports/boxing ,fight ,/problems/fight , , 
gap, ,gap ,/organizations/businesses/stores/gap , , 
grade,/education/grade school ,grade , , , 
holiday, ,holiday ,/activities/events/occasions/special occasions/holiday , , 
horror,/art and entertainment/movies and tv/horror ,horror ,/categories/genres/horror , , 
horse,/sports/horse racing ,horse ,/animals/horse , , 
host, ,host ,/people/guests/host , , 
husband, ,husband ,/people/family members/husband , , 
loan, ,loan ,/products/services/loan , , 
mistake, ,mistake ,/problems/errors/mistake , , 
mountain,/sports/bicycling/mountain biking ,mountain , , , 
nail,/style and fashion/beauty/cosmetics/nail polish ,nail ,/products/fasteners/nail , , 
noise, ,noise ,/issues/noise , , 
occasion, ,occasion ,/activities/events/occasion , , 
package,/business and industrial/business operations/human resources/compensation and benefits ,package ,/products/materials/services/package , , 
patient, ,patient ,/organizations/individuals/employees/customers/patients/patient , , 
pause,/technology and computing/consumer electronics/tv and video equipment/dvrs and set-top boxes ,pause , , , 
phrase,/technology and computing/internet technology/web search ,phrase , , , 
proof,/hobbies and interests/collecting/stamps and coins ,proof ,/materials/proof , , 
race,/sports/auto racing ,race ,/concepts/factors/characteristics/race , , 
relief,/health and fitness/disease/arthritis ,relief ,/issues/benefits/relief , , 
sand,/food and drink/food/grains and pasta ,sand ,/products/materials/sand , , 
sentence,"/law, govt and politics/legal issues/death penalty ",sentence , , , 
shoulder, ,shoulder ,/parts/joints/shoulder , , 
smoke, ,smoke ,/products/chemicals/pollutants/odors/smoke , , 
stomach,/health and fitness/disease/gerd and acid reflux ,stomach ,/types/parts/organs/stomach , , 
string, ,string ,/products/instruments/string , , 
tourist,/travel/tourist destinations ,tourist ,/people/visitors/tourist , , 
towel,/home and garden/bed and bath/bedroom/bedding and bed linens ,towel ,/accessories/linens/towel , , 
vacation,/travel/vacation rentals ,vacation ,/activities/events/vacation , , 
west, ,west , , , 
wheel, ,wheel ,/accessories/parts/wheel , , 
wine,/food and drink/beverages/alcoholic beverages/wine ,wine ,/products/beverages/wine , , 
arm, ,arm , , , 
aside, , , , , 
associate, , , , , 
bet,/sports/horse racing ,bet ,/channels/major networks/bet , , 
blow,/sports/curling ,blow ,/movies/blow , , 
border, ,border ,/places/border , , 
branch,"/law, govt and politics/government/executive branch ",branch ,/products/materials/branch , , 
breast,/health and fitness/disease/cancer ,breast ,/problems/diseases/cancers/breast , , 
brother, ,brother ,/family members/friends/relatives/brother , , 
buddy, ,buddy ,/volunteers/buddy , , 
bunch, ,bunch , , , 
chip,/technology and computing/hardware/computer components/motherboards ,chip ,/products/snacks/chip , , 
coach, ,coach ,/people/representatives/coach , , 
cross, ,cross ,/images/symbols/cross , , 
document, ,document , , , 
draft, ,draft ,/transactions/orders/draft , , 
dust,/health and fitness/disease/allergies ,dust ,/problems/defects/impurities/contaminants/particles/dust , , 
expert,/technology and computing/computer certification ,expert ,/people/expert , , 
floor,/home and garden/home furnishings/lamps and lighting ,floor , , , 
god, ,god ,/people/god , , 
golf,/sports/golf ,golf ,/activities/sports/golf , ,golf 
habit, ,habit ,/details/features/factors/characteristics/habit , , 
iron,/sports/curling ,iron ,/substances/nutrients/minerals/iron , , 
